StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q14_1,Q14_2,Q17,Q18,Q19,Q20,Q21,Q21_10_TEXT,Q22,Q23,Q24,Q24_6_TEXT,Q31_1,Q31_2,Q31_3,Q31_4,Q43_1,Q43_2,Q43_3,Q43_4,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q30_4,Q26,Q25,Q32,Q33,Q36,Q37,Q37_7_TEXT,Q38,Q39,Q39_8_TEXT,Q40,Q40_8_TEXT,Q41,Q42,Q43,Q44,Q44_7_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your intended concentration?

If you are a joint concentrator, select your primary concentration. If you are undeclared, you may still select an intended concentration.","If you are a joint concentrator, what is your intended allied concentration?

If you are undeclared, you may still select an intended allied concentration.","What is your intended secondary?

If you are undeclared, you may still select an intended secondary.",What is your expected graduation date? (MM/YYYY),Have you ever been enrolled and/or are you currently enrolled in a course within the Computer Science department at Harvard?,"Before attending Harvard, which of the following concentrations did you consider pursuing?

If you considered your current intended concentration(s), include them in your selection below.",Which of the following on-campus resources have helped you decide your concentration(s)?,"If you have been taught programming or computer science through an academic or extracurricular program, when did you enroll in your first course?","If you have any programming experience, around what age did you write your first line of code?

If you do not have any programming experience, you may skip this question.",How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Computer programming,How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Theoretical computer science,How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Economics and computation,How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Networks,How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Programming languages,How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Systems,"How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Graphics, visualization, and user interfaces",How knowledgeable are you of each of the following topics in comparison to other CS concentrators within your grade level? - Artificial intelligence,"Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - I enjoy programming and problem solving","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - I am interested in helping others","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - I enjoy working collaboratively","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - CS allows me to be creative","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - CS provides job security","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - CS provides me with a comfortable salary","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - I am subject to strong familial expectations","Please indicate the extent to which you disagree or agree with each of the following statements:
I am interested in CS because... - I have strong relationships within the CS community","Please indicate the extent to which you disagree or agree with each of the following statements:
For a course within my primary concentration department, I feel comfortable... - Asking or answering questions during lecture","Please indicate the extent to which you disagree or agree with each of the following statements:
For a course within my primary concentration department, I feel comfortable... - Asking or answering questions during sections","Please indicate the extent to which you disagree or agree with each of the following statements:
For a course within my primary concentration department, I feel comfortable... - Asking or answering questions in an online forum (ex: Canvas, Piazza, Ed)","Please indicate the extent to which you disagree or agree with each of the following statements:
For a course within my primary concentration department, I feel comfortable... - Privately asking the teaching staff questions","Please indicate which of the following statements you agree with:
I would feel comfortable approaching at least one faculty member from within my primary concentration department...","Please indicate the extent to which you disagree or agree with each of the following statements:
The aspects of my identity that are important to me – such as gender, ethnicity, or sexuality – are adequately represented among... - The students in my primary concentration department","Please indicate the extent to which you disagree or agree with each of the following statements:
The aspects of my identity that are important to me – such as gender, ethnicity, or sexuality – are adequately represented among... - The teaching staff for courses in my primary concentration department","Indicate which of the following Harvard CS courses you have taken, including in this semester:","On average, how often do you attend office hours for a given CS course?","Please indicate the extent to which you disagree or agree with the following statement:
I can easily find problem set partners within a CS course.",Do you plan to enroll in another course within the CS department in a future semester?,"If you answered ‘No’ or ‘Undecided’ to the previous question, which of the following reasons may inform your decision to enroll in another course within the CS department? - Selected Choice","If you answered ‘No’ or ‘Undecided’ to the previous question, which of the following reasons may inform your decision to enroll in another course within the CS department? - Other: - Text","Have you ever considered applying to graduate studies, such as a Master’s or Doctorate degree, in CS?",Do you intend to write a senior thesis within the CS department?,"If you answered ‘No’ to the previous question, which of the following reasons has influenced your decision to not write a senior thesis? - Selected Choice","If you answered ‘No’ to the previous question, which of the following reasons has influenced your decision to not write a senior thesis? - Other: - Text","Please indicate the extent to which you disagree or agree with each of the following statements:
My primary concentration department is... - Academically supportive","Please indicate the extent to which you disagree or agree with each of the following statements:
My primary concentration department is... - Professionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements:
My primary concentration department is... - Emotionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements:
My primary concentration department is... - Welcoming and inclusive","Please indicate the extent to which you disagree or agree with each of the following statements:
The student community within my primary concentration is... - Academically supportive","Please indicate the extent to which you disagree or agree with each of the following statements:
The student community within my primary concentration is... - Professionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements:
The student community within my primary concentration is... - Emotionally supportive","Please indicate the extent to which you disagree or agree with each of the following statements:
The student community within my primary concentration is... - Welcoming and inclusive","Please indicate the extent to which you disagree or agree each of the following statements:
I have experienced discrimination within my primary concentration on the basis of... - My gender","Please indicate the extent to which you disagree or agree each of the following statements:
I have experienced discrimination within my primary concentration on the basis of... - My race or ethnicity","Please indicate the extent to which you disagree or agree each of the following statements:
I have experienced discrimination within my primary concentration on the basis of... - My sexuality",Please indicate the extent to which you disagree or agree with each of the following statements: - Discrimination on the basis of gender is an issue within my primary concentration,Please indicate the extent to which you disagree or agree with each of the following statements: - Discrimination on the basis of race or ethnicity is an issue within my primary concentration,Please indicate the extent to which you disagree or agree with each of the following statements: - Discrimination on the basis of sexuality is an issue within my primary concentration,Please indicate the extent to which you disagree or agree with each of the following statements: - Sexual harassment is an issue within my primary concentration,"Please indicate which of the following statements you agree with:
It has been easy for me to join student organizations at Harvard relating to my…","Have you ever been involved in a student organization at Harvard relating to computer science, engineering, or technology?","Please indicate the extent to which you disagree or agree with the following statement:
The process of finding an internship or job is stressful.

Please select N/A if you have not been involved in the process of finding an internship or job.","Please indicate which of the following statements you agree with:
When looking for internships and job opportunities, direct connections or referrals are accessible to me through…","Please indicate which of the following statements you agree with:
When looking for internships and job opportunities, guidance and mentorship are accessible to me through…",What is your gender identity? - Selected Choice,What is your gender identity? - Other: - Text,Do you identify as transgender?,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Other: - Text,What is your racial or ethnic identification? Select all that apply. - Selected Choice,What is your racial or ethnic identification? Select all that apply. - Other - Text,Are you of Hispanic or Latinx origin?,Do you identify as a first-generation college student?,Do you identify as a student from a low-income background?,"If you have been diagnosed with a disability or impairment, which of the following have been diagnosed? Select all that apply. - Selected Choice","If you have been diagnosed with a disability or impairment, which of the following have been diagnosed? Select all that apply. - Other - Text"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_10_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_7_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_8_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_8_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_7_TEXT""}"
2020-10-20 14:12:32,2020-10-20 14:14:52,IP Address,100,139,True,2020-10-20 14:14:52,R_2yr80RaLX4QV3qY,email,EN,Economics,,,May/2024,No,English,My first-year academic advisor,I have never been taught programming or computer science in an academic or extracurricular program,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Strongly agree,To inquire about advice for my concentration,Agree,Agree,,,,,,,,,,,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,"Academic interests,Professional interests",No,Strongly agree,"Professional networks,The Harvard Office of Career Services",The Harvard Office of Career Services,Male,,No,Straight/Heterosexual,,White,,"No, not of Hispanic or Latinx origin",No,No,"None, I have not be diagnosed with a disability or impairment",
2020-10-20 14:11:56,2020-10-20 14:15:29,IP Address,100,213,True,2020-10-20 14:15:29,R_07cFKnOOmrStrTr,email,EN,Economics,Government,Undecided,05/2024,No,"Economics,History,Neuroscience",My first-year academic advisor,In middle school (including summer after graduation),,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Agree,Somewhat agree,,Disagree,Somewhat disagree,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Non-academic and non-professional interests,No,Agree,"Close friends and family,Fellow students,Professional networks,Alumni networks,The Harvard Office of Career Services","Fellow students,Professional networks,Alumni networks",Female,,No,Bisexual,,White,,"Yes, of Hispanic or Latinx origin",Yes,Yes,,
2020-10-20 14:12:58,2020-10-20 14:17:10,IP Address,100,252,True,2020-10-20 14:17:11,R_egt2kWdQwtyONvX,email,EN,Chemical and Physical Biology,,Psychology,05/2023,No,"Chemical and Physical Biology,Human Developmental and Regenerative Biology,Molecular and Cellular Biology,Neuroscience","My first-year academic advisor,Department heads,Department faculty,Department-specific advising programs",In high school (including summer after graduation),15,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",Strongly agree,Agree,,,,,,,,,,,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,"Academic interests,Professional interests,Non-academic and non-professional interests",No,Strongly agree,Professional networks,"Fellow students,Professional networks,The Harvard Office of Career Services",Female,,No,Bisexual,,Asian,,"No, not of Hispanic or Latinx origin",No,No,A mental health disorder,
2020-10-20 14:14:28,2020-10-20 14:17:47,IP Address,100,199,True,2020-10-20 14:17:47,R_pb1qFb8vee9u8Lf,email,EN,Applied Mathematics,,,05/2024,No,"Applied Mathematics,Chemistry,Economics,Mathematics,Statistics",,In middle school (including summer after graduation),12,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,To inquire about advice for my concentration,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Academic interests,Yes,Strongly agree,,Fellow students,Male,,No,Straight/Heterosexual,,Asian,,"No, not of Hispanic or Latinx origin",No,No,"None, I have not be diagnosed with a disability or impairment",
2020-10-20 14:14:59,2020-10-20 14:18:35,IP Address,100,215,True,2020-10-20 14:18:35,R_2c8CXlF2st4ykK1,email,EN,Philosophy,,Government,06/2024,No,"Environmental Science and Engineering,Government,Philosophy,Social Studies","My first-year academic advisor,Residential advising resources, such as house tutors or proctors,Department heads,Department faculty,Peer Advising Fellows (PAFs)",In high school (including summer after graduation),15,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",Somewhat disagree,Somewhat disagree,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Academic interests,Professional interests,Non-academic and non-professional interests",Yes,Strongly agree,"Close friends and family,Fellow students,Professional networks,Alumni networks,The Harvard Office of Career Services","Close friends and family,Fellow students,Professional networks,Alumni networks,The Harvard Office of Career Services",Female,,No,Straight/Heterosexual,,"Asian,White",,"No, not of Hispanic or Latinx origin",No,No,"None, I have not be diagnosed with a disability or impairment",
2020-10-20 14:12:47,2020-10-20 14:18:55,IP Address,100,367,True,2020-10-20 14:18:55,R_3g7M1qAClNrCmGb,email,EN,Computer Science,,Classics,5/2024,Yes,"Applied Mathematics,Classics,Computer Science,Economics,English,Government,Linguistics,Neuroscience,Psychology",,In middle school (including summer after graduation),13,Similarly knowledgeable,Similarly knowledgeable,Slightly less knowledgeable,Slightly less knowledgeable,Slightly more knowledgeable,Slightly more knowledgeable,Similarly knowledgeable,Similarly knowledgeable,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,"To inquire about research opportunities,To inquire about advice for my concentration",Neither agree nor disagree,Neither agree nor disagree,CS 61: Systems Programming and Machine Organization,At least once a month,Somewhat agree,Yes,,,"Yes, I have considered but do not intend to apply to graduate studies in CS",I am unsure or undecided,,,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,"Academic interests,Non-academic and non-professional interests",Yes,Somewhat agree,"Close friends and family,Fellow students","Close friends and family,The Harvard Office of Career Services",Non-binary/third gender,,No,Bisexual,,Asian,,"No, not of Hispanic or Latinx origin",No,No,"None, I have not be diagnosed with a disability or impairment",
2020-10-20 14:14:26,2020-10-20 14:18:56,IP Address,100,269,True,2020-10-20 14:18:56,R_cYpx53KCQV0Glax,email,EN,Physics,Mathematics,Computer Science,05/2023,No,"Astrophysics,Chemistry,Chemistry and Physics,Classics,Mathematics,Physics","Department heads,Department faculty",I have never been taught programming or computer science in an academic or extracurricular program,7,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,"For an academic letter of recommendation,To inquire about research opportunities,To inquire about advice for my concentration",Agree,Agree,,,,,,,,,,,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Yes,Strongly agree,Close friends and family,Close friends and family,Male,,No,Straight/Heterosexual,,White,,"No, not of Hispanic or Latinx origin",No,No,"None, I have not be diagnosed with a disability or impairment",
2020-10-20 14:14:34,2020-10-20 14:19:08,IP Address,100,274,True,2020-10-20 14:19:08,R_3qroS654Ax39MgG,email,EN,Molecular and Cellular Biology,Government,,05/2023,Yes,"Government,Molecular and Cellular Biology",,In elementary school (including summer after graduation),16,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"To inquire about research opportunities,To inquire about career opportunities,To inquire about advice for my concentration",Somewhat disagree,Somewhat disagree,CS 50: Introduction to Computer Science I,Never or almost never,Strongly disagree,No,I do not feel supported by the CS department,,,,,,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Academic interests,No,Strongly agree,The Harvard Office of Career Services,The Harvard Office of Career Services,Male,,No,Gay or Lesbian,,White,,"No, not of Hispanic or Latinx origin",Yes,Yes,"None, I have not be diagnosed with a disability or impairment",
